# Brake-in-curve maneuver (combined steering + braking / trail-brake test).
# Enter a constant-radius (R=18 m) left arc at 5.0 m/s, brake mid-corner down to
# 1.5 m/s, hold through the rest of the curve, then stop at the exit. Probes
# controller stability while steering and decelerating at the same time.
# Columns: x,y,speed  -- see ../config/params.yaml for frame + anchoring notes.
x,y,speed
0.000,0.000,5.000
0.500,0.000,5.000
1.000,0.000,5.000
1.500,0.000,5.000
2.000,0.000,5.000
2.500,0.000,5.000
3.000,0.000,5.000
3.500,0.000,5.000
4.000,0.000,5.000
4.500,0.000,5.000
5.000,0.000,5.000
5.500,0.000,5.000
6.000,0.000,5.000
6.500,0.000,5.000
7.000,0.000,5.000
7.500,0.000,5.000
8.000,0.000,5.000
8.500,0.007,5.000
8.999,0.028,5.000
9.498,0.062,5.000
9.996,0.111,5.000
10.492,0.173,5.000
10.986,0.249,5.000
11.478,0.339,5.000
11.967,0.443,5.000
12.453,0.560,5.000
12.936,0.690,5.000
13.415,0.834,5.000
13.890,0.991,5.000
14.360,1.161,4.781
14.825,1.344,4.562
15.285,1.540,4.344
15.739,1.749,4.125
16.188,1.970,3.906
16.630,2.204,3.688
17.065,2.449,3.469
17.493,2.707,3.250
17.915,2.977,3.031
18.328,3.258,2.812
18.733,3.550,2.594
19.131,3.854,2.375
19.519,4.169,2.156
19.899,4.494,1.938
20.269,4.830,1.719
20.631,5.175,1.500
20.982,5.531,1.500
21.323,5.897,1.500
21.654,6.271,1.500
21.975,6.655,1.500
22.284,7.048,1.500
22.583,7.449,1.500
22.871,7.858,1.500
23.146,8.275,1.500
23.411,8.699,1.500
23.663,9.131,1.500
23.903,9.569,1.500
24.131,10.014,1.500
24.347,10.465,1.500
24.550,10.922,1.500
24.740,11.384,1.500
24.917,11.852,1.500
25.082,12.324,1.500
25.233,12.801,1.500
25.371,13.281,1.500
25.495,13.766,1.500
25.606,14.253,1.500
25.703,14.744,1.500
25.787,15.237,1.500
25.857,15.732,1.500
25.913,16.229,1.500
25.955,16.727,1.500
25.983,17.226,1.500
25.998,17.726,1.500
25.999,18.226,1.500
25.985,18.725,1.500
25.958,19.225,1.500
25.917,19.723,1.500
25.863,20.220,1.500
25.794,20.715,0.000
