# Sine-with-dwell maneuver (FMVSS 126-style transient/recovery test).
# Lateral ref = one 0.5 Hz sine (A=1.5 m) that HOLDS at the far peak for a 0.5 s
# dwell before returning to centre, at a constant 4.0 m/s. Probes lateral transient
# response and recovery from a sustained offset.
# Columns: x,y,speed  -- see ../config/params.yaml for frame + anchoring notes.
x,y,speed
0.000,0.000,4.000
0.400,0.000,4.000
0.800,0.000,4.000
1.200,0.000,4.000
1.600,0.000,4.000
2.000,0.000,4.000
2.400,0.000,4.000
2.800,0.000,4.000
3.200,0.000,4.000
3.600,0.000,4.000
4.000,0.000,4.000
4.400,0.000,4.000
4.800,0.000,4.000
5.200,0.000,4.000
5.600,0.000,4.000
6.000,0.000,4.000
6.400,0.464,4.000
6.800,0.882,4.000
7.200,1.214,4.000
7.600,1.427,4.000
8.000,1.500,4.000
8.400,1.427,4.000
8.800,1.214,4.000
9.200,0.882,4.000
9.600,0.464,4.000
10.000,0.000,4.000
10.400,-0.464,4.000
10.800,-0.882,4.000
11.200,-1.214,4.000
11.600,-1.427,4.000
12.000,-1.500,4.000
12.400,-1.500,4.000
12.800,-1.500,4.000
13.200,-1.500,4.000
13.600,-1.500,4.000
14.000,-1.500,4.000
14.400,-1.427,4.000
14.800,-1.214,4.000
15.200,-0.882,4.000
15.600,-0.464,4.000
16.000,0.000,4.000
16.400,0.000,4.000
16.800,0.000,4.000
17.200,0.000,4.000
17.600,0.000,4.000
18.000,0.000,4.000
18.400,0.000,4.000
18.800,0.000,4.000
19.200,0.000,4.000
19.600,0.000,4.000
20.000,0.000,4.000
20.400,0.000,4.000
20.800,0.000,4.000
21.200,0.000,4.000
21.600,0.000,4.000
22.000,0.000,4.000
22.400,0.000,4.000
22.800,0.000,4.000
23.200,0.000,4.000
23.600,0.000,4.000
24.000,0.000,0.000
