# Steady-state oscillatory S-shape (slalom / weave, frequency-response test).
# Constant 4.0 m/s along a sustained sinusoid: A=1.0 m, 12 m wavelength, 5 cycles,
# with straight lead-in/out. Held long enough to reach steady state, so it reveals
# the lateral controller's amplitude attenuation and phase lag (not just a transient).
# Columns: x,y,speed  -- see ../config/params.yaml for frame + anchoring notes.
x,y,speed
0.000,0.000,4.000
0.500,0.000,4.000
1.000,0.000,4.000
1.500,0.000,4.000
2.000,0.000,4.000
2.500,0.000,4.000
3.000,0.000,4.000
3.500,0.000,4.000
4.000,0.000,4.000
4.500,0.000,4.000
5.000,0.000,4.000
5.500,0.000,4.000
6.000,0.000,4.000
6.500,0.259,4.000
7.000,0.500,4.000
7.500,0.707,4.000
8.000,0.866,4.000
8.500,0.966,4.000
9.000,1.000,4.000
9.500,0.966,4.000
10.000,0.866,4.000
10.500,0.707,4.000
11.000,0.500,4.000
11.500,0.259,4.000
12.000,0.000,4.000
12.500,-0.259,4.000
13.000,-0.500,4.000
13.500,-0.707,4.000
14.000,-0.866,4.000
14.500,-0.966,4.000
15.000,-1.000,4.000
15.500,-0.966,4.000
16.000,-0.866,4.000
16.500,-0.707,4.000
17.000,-0.500,4.000
17.500,-0.259,4.000
18.000,0.000,4.000
18.500,0.259,4.000
19.000,0.500,4.000
19.500,0.707,4.000
20.000,0.866,4.000
20.500,0.966,4.000
21.000,1.000,4.000
21.500,0.966,4.000
22.000,0.866,4.000
22.500,0.707,4.000
23.000,0.500,4.000
23.500,0.259,4.000
24.000,0.000,4.000
24.500,-0.259,4.000
25.000,-0.500,4.000
25.500,-0.707,4.000
26.000,-0.866,4.000
26.500,-0.966,4.000
27.000,-1.000,4.000
27.500,-0.966,4.000
28.000,-0.866,4.000
28.500,-0.707,4.000
29.000,-0.500,4.000
29.500,-0.259,4.000
30.000,0.000,4.000
30.500,0.259,4.000
31.000,0.500,4.000
31.500,0.707,4.000
32.000,0.866,4.000
32.500,0.966,4.000
33.000,1.000,4.000
33.500,0.966,4.000
34.000,0.866,4.000
34.500,0.707,4.000
35.000,0.500,4.000
35.500,0.259,4.000
36.000,0.000,4.000
36.500,-0.259,4.000
37.000,-0.500,4.000
37.500,-0.707,4.000
38.000,-0.866,4.000
38.500,-0.966,4.000
39.000,-1.000,4.000
39.500,-0.966,4.000
40.000,-0.866,4.000
40.500,-0.707,4.000
41.000,-0.500,4.000
41.500,-0.259,4.000
42.000,0.000,4.000
42.500,0.259,4.000
43.000,0.500,4.000
43.500,0.707,4.000
44.000,0.866,4.000
44.500,0.966,4.000
45.000,1.000,4.000
45.500,0.966,4.000
46.000,0.866,4.000
46.500,0.707,4.000
47.000,0.500,4.000
47.500,0.259,4.000
48.000,0.000,4.000
48.500,-0.259,4.000
49.000,-0.500,4.000
49.500,-0.707,4.000
50.000,-0.866,4.000
50.500,-0.966,4.000
51.000,-1.000,4.000
51.500,-0.966,4.000
52.000,-0.866,4.000
52.500,-0.707,4.000
53.000,-0.500,4.000
53.500,-0.259,4.000
54.000,0.000,4.000
54.500,0.259,4.000
55.000,0.500,4.000
55.500,0.707,4.000
56.000,0.866,4.000
56.500,0.966,4.000
57.000,1.000,4.000
57.500,0.966,4.000
58.000,0.866,4.000
58.500,0.707,4.000
59.000,0.500,4.000
59.500,0.259,4.000
60.000,0.000,4.000
60.500,-0.259,4.000
61.000,-0.500,4.000
61.500,-0.707,4.000
62.000,-0.866,4.000
62.500,-0.966,4.000
63.000,-1.000,4.000
63.500,-0.966,4.000
64.000,-0.866,4.000
64.500,-0.707,4.000
65.000,-0.500,4.000
65.500,-0.259,4.000
66.000,0.000,4.000
66.500,0.000,4.000
67.000,0.000,4.000
67.500,0.000,4.000
68.000,0.000,4.000
68.500,0.000,4.000
69.000,0.000,4.000
69.500,0.000,4.000
70.000,0.000,4.000
70.500,0.000,4.000
71.000,0.000,4.000
71.500,0.000,4.000
72.000,0.000,0.000
