                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2884,                 11.943,                 1.2942,                0.88652,                0.07407,                0.10225,                0.07606,                 2.0657,                  8.798,                 1.1314,              5.292e-05,              5.292e-05,              5.292e-05
                      2,                 1.8659,                 5.7227,                 1.1213,                 0.7183,                0.12963,                0.21005,                0.13596,                 1.9779,                 15.159,                 1.0419,             0.00011135,             0.00011135,             0.00011135
                      3,                 1.6952,                 3.6401,                 1.0017,                0.63013,                0.20225,                0.16186,                0.09306,                 1.9526,                 32.467,                  1.012,             0.00016939,             0.00016939,             0.00016939
                      4,                 1.6285,                 2.9603,                 0.9637,                0.56972,                0.14815,                0.12199,                0.06571,                 1.9709,                  23.55,                 1.0193,             0.00022705,             0.00022705,             0.00022705
                      5,                 1.4512,                 2.3613,                0.96815,                0.45675,                0.16667,                0.11179,                0.07526,                 2.0226,                 196.06,                  0.999,             0.00028432,             0.00028432,             0.00028432
                      6,                  1.545,                 1.9193,                0.95264,                0.81638,                0.18918,                0.26345,                0.17086,                 2.0319,                 25.943,                0.99696,              0.0003412,              0.0003412,              0.0003412
                      7,                 1.3906,                 1.7087,                0.92627,                 0.6927,                0.23674,                0.29442,                0.19421,                  1.788,                 3.3209,                0.94185,             0.00039769,             0.00039769,             0.00039769
                      8,                 1.3791,                  1.589,                0.91298,                0.54493,                0.37032,                0.35416,                0.18143,                 1.9319,                 2.4636,                0.94971,             0.00045379,             0.00045379,             0.00045379
                      9,                 1.5102,                 1.6889,                0.95798,                  0.687,                0.35185,                0.37181,                 0.1937,                 2.0576,                 2.4567,                 1.0059,              0.0005095,              0.0005095,              0.0005095
                     10,                 1.4804,                 1.4803,                0.94191,                0.58453,                0.32165,                0.39657,                0.19759,                 1.8874,                 2.2966,                0.97278,             0.00056483,             0.00056483,             0.00056483
                     11,                 1.3969,                 1.3005,                0.93194,                0.81541,                0.33333,                0.36636,                0.17025,                 1.9688,                 2.2542,                0.98651,              0.0005686,              0.0005686,              0.0005686
                     12,                 1.2985,                 1.1398,                 0.9129,                0.49202,                 0.2963,                0.35125,                0.17607,                 2.0251,                 2.2976,                 1.0045,              0.0005686,              0.0005686,              0.0005686
                     13,                 1.3804,                 1.1874,                0.92501,                0.54648,                0.28624,                0.37803,                0.18353,                 1.8167,                 2.1485,                0.94545,             0.00056666,             0.00056666,             0.00056666
                     14,                 1.3517,                 1.0734,                0.89705,                0.44527,                0.35185,                0.36493,                0.19524,                 1.9161,                 2.1611,                0.94743,             0.00056472,             0.00056472,             0.00056472
                     15,                 1.3566,                 1.0479,                0.89219,                0.65574,                0.32731,                0.34708,                 0.1841,                 1.8291,                 1.8613,                0.93531,             0.00056277,             0.00056277,             0.00056277
                     16,                 1.3017,                0.98156,                0.89869,                0.46149,                0.35185,                0.36922,                0.19202,                 1.9171,                 1.8263,                0.94167,             0.00056083,             0.00056083,             0.00056083
                     17,                 1.1453,                0.87113,                 0.8888,                  0.512,                0.33736,                0.39578,                 0.1889,                 2.0075,                 1.8423,                0.93396,             0.00055889,             0.00055889,             0.00055889
                     18,                 1.2319,                0.82156,                0.90465,                0.51953,                0.37037,                0.36619,                0.16781,                 1.9233,                 1.6283,                0.94706,             0.00055695,             0.00055695,             0.00055695
                     19,                 1.1988,                0.87995,                 0.8561,                0.50079,                0.35185,                0.37848,                0.19073,                 2.1079,                 1.6903,                 0.9799,             0.00055501,             0.00055501,             0.00055501
                     20,                 1.1719,                0.86168,                0.87059,                0.54655,                0.42039,                0.47432,                0.19848,                 1.9434,                 1.6176,                0.96119,             0.00055307,             0.00055307,             0.00055307
                     21,                 1.1749,                0.79695,                0.87258,                0.62591,                0.38889,                0.44329,                 0.1993,                 1.8504,                 1.5568,                 0.9459,             0.00055113,             0.00055113,             0.00055113
                     22,                  1.256,                0.86865,                0.88537,                 0.6631,                0.37037,                0.40656,                0.17279,                 1.9686,                 1.7898,                0.94242,             0.00054919,             0.00054919,             0.00054919
                     23,                 1.1715,                0.81304,                0.88133,                0.73626,                0.35185,                0.38493,                 0.1869,                 1.8249,                 1.7599,                0.93162,             0.00054725,             0.00054725,             0.00054725
                     24,                 1.1085,                0.75673,                0.85771,                0.69894,                 0.2963,                0.36695,                0.20028,                 1.8361,                 1.5727,                0.92106,             0.00054531,             0.00054531,             0.00054531
                     25,                 1.0667,                0.69507,                0.87357,                0.80454,                0.27738,                 0.3571,                0.19384,                 1.9892,                 1.5701,                0.95249,             0.00054337,             0.00054337,             0.00054337
                     26,                 1.1339,                0.77245,                0.86736,                 0.7598,                0.24074,                 0.2993,                0.13679,                 2.1802,                 1.6974,                 1.0276,             0.00054143,             0.00054143,             0.00054143
                     27,                 1.0919,                  0.672,                0.87431,                0.71912,                0.22222,                0.27639,                0.13896,                 2.1615,                 1.5873,                 1.0427,             0.00053949,             0.00053949,             0.00053949
                     28,                 1.1049,                0.69716,                0.86652,                0.84257,                0.31481,                0.37079,                0.16207,                 2.1451,                  1.536,                 1.0099,             0.00053755,             0.00053755,             0.00053755
                     29,                  1.113,                0.66335,                0.85999,                0.84302,                0.24074,                0.27636,                0.14107,                 2.0822,                 1.5518,                0.97681,             0.00053561,             0.00053561,             0.00053561
                     30,                   1.14,                0.74867,                0.85063,                0.85163,                0.31481,                0.36707,                 0.1529,                   2.07,                 1.5682,                0.97116,             0.00053367,             0.00053367,             0.00053367
                     31,                 1.1005,                0.66288,                0.87497,                 0.7547,                0.35185,                 0.3935,                0.19491,                 1.9973,                 1.5783,                0.96634,             0.00053173,             0.00053173,             0.00053173
                     32,                0.98019,                0.65052,                0.84491,                0.70414,                0.31481,                0.33971,                0.17855,                 2.0307,                 1.7332,                0.97099,             0.00052979,             0.00052979,             0.00052979
                     33,                   1.05,                0.63776,                  0.853,                0.49211,                0.33333,                 0.3578,                0.18019,                 2.0917,                 1.7098,                0.98013,             0.00052785,             0.00052785,             0.00052785
